2024-08-06T11:54:40.038179445Z I0806 11:54:40.038058       1 httplog.go:131] "HTTP" verb="GET" URI="/healthz" latency="131.59µs" userAgent="kube-probe/1.27" audit-ID="386ff43c-c35b-4087-ba8e-26caa5fffa7c" srcIP="10.10.110.11:40744" resp=200
2024-08-06T11:54:40.043737108Z I0806 11:54:40.043654       1 httplog.go:131] "HTTP" verb="GET" URI="/healthz" latency="6.402365ms" userAgent="kube-probe/1.27" audit-ID="0cbcc7c9-2216-40b5-bb54-53ca84aa1217" srcIP="10.10.110.11:40740" resp=200
2024-08-06T11:54:50.040067707Z I0806 11:54:50.039934       1 httplog.go:131] "HTTP" verb="GET" URI="/healthz" latency="269.021µs" userAgent="kube-probe/1.27" audit-ID="523d04b4-6ceb-4735-a0a1-8eaec0e37fee" srcIP="10.10.110.11:35202" resp=200
2024-08-06T11:54:50.043966774Z I0806 11:54:50.043907       1 httplog.go:131] "HTTP" verb="GET" URI="/healthz" latency="5.037266ms" userAgent="kube-probe/1.27" audit-ID="64d9fead-246f-4f48-8d40-a0b69fa701e0" srcIP="10.10.110.11:35200" resp=200
2024-08-06T11:55:00.039290467Z I0806 11:55:00.039171       1 httplog.go:131] "HTTP" verb="GET" URI="/healthz" latency="311.561µs" userAgent="kube-probe/1.27" audit-ID="bee8766e-9e4d-4b3d-8410-3134474e9fd1" srcIP="10.10.110.11:60786" resp=200
2024-08-06T11:55:00.044125559Z I0806 11:55:00.044046       1 httplog.go:131] "HTTP" verb="GET" URI="/healthz" latency="5.843044ms" userAgent="kube-probe/1.27" audit-ID="9d385971-1e3d-4a61-86e0-c00d03f88417" srcIP="10.10.110.11:60772" resp=200
2024-08-06T11:55:01.603576108Z E0806 11:55:01.603508       1 writers.go:118] apiserver was unable to write a JSON response: http2: stream closed
2024-08-06T11:55:01.603600044Z I0806 11:55:01.603514       1 panic.go:838] "HTTP" verb="GET" URI="/apis/custom.metrics.k8s.io/v1beta1" latency="14.12818ms" userAgent="Go-http-client/2.0" audit-ID="378cae65-43d9-4eb6-9428-2edbc8cce2df" srcIP="10.10.110.11:38576" resp=200
2024-08-06T11:55:01.603607959Z E0806 11:55:01.603533       1 status.go:71] apiserver received an error that is not an metav1.Status: &errors.errorString{s:"http2: stream closed"}: http2: stream closed
2024-08-06T11:55:01.603612267Z E0806 11:55:01.603548       1 wrap.go:53] timeout or abort while handling: method=GET URI="/apis/custom.metrics.k8s.io/v1beta1" audit-ID="378cae65-43d9-4eb6-9428-2edbc8cce2df"
2024-08-06T11:55:01.604149356Z I0806 11:55:01.604095       1 panic.go:838] "HTTP" verb="GET" URI="/apis/custom.metrics.k8s.io/v1beta1" latency="14.79707ms" userAgent="Go-http-client/2.0" audit-ID="f9997f5f-c6eb-4285-8e6c-32ef913228b1" srcIP="10.10.110.11:38576" resp=200
